,in_degree,out_degree,betweenness,eigenvector,is_likely_promo
dantebanks.bsky.social,3,2,8.28719437863031e-07,4.5936231699353034e-38,False
zytgst.bsky.social,3,4,0.0,4.935206682205571e-23,False
thegaysapionerd.bsky.social,3,4,0.0,2.289877497030844e-19,False
latinkraken.bsky.social,3,2,2.4861583135890927e-06,7.134349075349684e-42,False
g-sharp-major.bsky.social,3,2,0.00010027505198142674,4.387390780139858e-28,False
uncanny305.bandcamp.com,3,2,0.0,1.9873249327981077e-30,False
lotographia.bsky.social,3,2,2.4861583135890927e-06,7.13434907534968e-42,False
vicky-o-victoria.bsky.social,3,2,8.28719437863031e-07,3.4923916697010544e-35,False
mattysupreme.bsky.social,3,2,0.00010524736860860493,2.3225045954642286e-23,False
dfa1976.bsky.social,3,3,0.0,0.2525790732962487,False
nygem.blacksky.app,3,2,2.4861583135890927e-06,5.735238521480479e-32,False
zeenthecity.bsky.social,3,2,5.8010360650412165e-06,9.630361296426325e-35,False
frankenputo.is-extremely.gay,3,1,3.232005807665821e-05,1.5859397114809603e-31,False
deshocks.bsky.social,3,2,0.0,6.6399519856895775e-31,False
youcaughtscott.com,3,1,8.28719437863031e-07,7.42187012842601e-41,False
bobby1998.bsky.social,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
akelacooper.bsky.social,3,3,8.28719437863031e-07,2.026681722441817e-30,False
tomilaffly.bsky.social,2,1,0.0,5.3507618065122584e-42,False
neverendingjim.bsky.social,2,1,0.0,7.041004231137775e-41,False
truckerjc.bsky.social,2,2,0.0,4.3484957624729886e-17,False
conradelliot.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
merllo.bsky.social,2,2,0.0,2.4659593678607182e-24,False
irishstar.com,2,0,8.28719437863031e-07,9.891223853747346e-56,False
smillapanfur.bsky.social,2,2,0.0,0.1683860488641658,False
bradytbh.bsky.social,2,2,8.28719437863031e-07,4.080055617176914e-43,False
schmanthonyp.bsky.social,2,1,5.8010360650412165e-06,1.2388395644235838e-50,False
caiofall.bsky.social,2,2,3.314877751452124e-06,5.162154339332442e-41,False
crabbyaf.bsky.social,2,2,5.220932458537095e-05,2.4154287849796477e-27,False
thejlm.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
thehamsterwrangler.bsky.social,2,2,0.0,8.994533083249006e-32,False
sammie.gay,2,1,0.0,5.3507618065122584e-42,False
camcron.bsky.social,2,1,0.0,5.3507618065122584e-42,False
mauraquint.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
chrsphr.uk,2,0,8.28719437863031e-07,9.891223853747346e-56,False
simonm223.bsky.social,2,2,0.0,1.6856387560452294e-22,False
castlechameleon.bsky.social,2,2,0.0,2.1016229663588306e-33,False
leoie.bsky.social,2,1,0.0,5.3507618065122584e-42,False
samanthaballent.bsky.social,2,1,1.657438875726062e-06,3.003965178920571e-46,False
alexdualgrey.bsky.social,2,4,0.0007607644439582624,2.203777210633228e-22,False
drewmagary.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
sdzdc.bsky.social,2,5,3.6463655265973365e-05,2.4029936375075677e-15,False
blackforestcyclist.bsky.social,2,3,0.0,6.6399519856895775e-31,False
lsaclassof2000.bsky.social,2,2,0.0,4.3484957624729886e-17,False
jirachi.bsky.social,2,1,0.0,5.3507618065122584e-42,False
pb14.bsky.social,2,1,0.0,5.3507618065122584e-42,False
julywolfe.bsky.social,2,2,0.0,2.289397474033691e-31,False
lschmeiser.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
spiegel.de,2,0,8.28719437863031e-07,9.891223853747346e-56,False
biggreenbooks.bsky.social,2,1,0.0,5.3507618065122584e-42,False
southernman48.bsky.social,2,2,0.0,1.3106512355497755e-34,False
aisleseat.bsky.social,2,1,0.0,5.3507618065122584e-42,False
paulnuk.eurosky.social,2,1,1.740310819512365e-05,3.6704603872343164e-38,False
mrpaulymac.bsky.social,2,2,0.0,5.602525921688771e-25,False
discussingfilm.net,2,0,8.28719437863031e-07,9.891223853747346e-56,False
philcox99.bsky.social,2,2,0.0,2.115695128112248e-15,False
watchtvalot.bsky.social,2,4,0.00011270584354937221,7.039082911439095e-20,False
zerosjb.bsky.social,2,3,4.972316627178185e-06,2.0348697553340534e-24,False
mst3katie.bsky.social,2,1,0.0,5.3507618065122584e-42,False
idkman159.swifties.social,2,1,2.4861583135890927e-06,1.4527209251419368e-30,False
mrsteed.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
squallleonshart.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
seddieweddie.blacksky.app,2,1,0.0,5.3507618065122584e-42,False
sheriffofgay.bsky.social,2,3,0.0,2.389277671915415e-27,False
cjsprigman.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
thecorlew.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
starf1re.bsky.social,2,2,8.28719437863031e-07,4.080055617176914e-43,False
therealjourneyman.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
heyjaeee.bsky.social,2,1,3.0662619200932145e-05,1.8172526258049836e-25,False
aduralde.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
ellienchanted.bsky.social,2,1,0.0,5.3507618065122584e-42,False
